target,arena,arena_label,seed,eligible_sentences,sampled_sentences,similarity_past,similarity_future,similarity_machine,similarity_beyond,temporality_future_minus_past,ontology_beyond_minus_machine
learning,WSJ,Wall Street Journal (business news),44,1747,500,0.3692257086485033,0.41144054203261266,0.5739874142291009,0.4965515307237978,0.04221483338410936,-0.07743588350530312
model,WSJ,Wall Street Journal (business news),44,654,500,0.3802525756907593,0.41783878508648925,0.6064216835181604,0.48616339885036236,0.03758620939572993,-0.12025828466779803
network,WSJ,Wall Street Journal (business news),44,235,235,0.38235979608791193,0.4104822950191735,0.5395310825780989,0.48813044337312267,0.028122498931261564,-0.05140063920497623
risk,WSJ,Wall Street Journal (business news),44,318,318,0.3597602761932731,0.44168476750316804,0.4123745802622221,0.4337345024175837,0.08192449130989493,0.021359922155361588
safety,WSJ,Wall Street Journal (business news),44,284,284,0.37579963234086383,0.4119010243003226,0.49973006955846977,0.49199804016672427,0.03610139195945877,-0.0077320293917454985
system,WSJ,Wall Street Journal (business news),44,764,500,0.37955756200446344,0.4203715818065287,0.6263204875509809,0.48841173786504616,0.04081401980206528,-0.13790874968593475
training,WSJ,Wall Street Journal (business news),44,449,449,0.3825179507680462,0.4293801128517528,0.5404666756871072,0.46015571970574803,0.04686216208370664,-0.08031095598135912
understanding,WSJ,Wall Street Journal (business news),44,136,136,0.3956568313052061,0.41573456637190476,0.4858858096883093,0.5041642074826852,0.020077735066698632,0.0182783977943759
agent,arxiv,arXiv (academic),44,2240,500,0.3721370856670448,0.4018345348257866,0.5498431204148307,0.5015118164811241,0.02969744915874184,-0.04833130393370666
algorithm,arxiv,arXiv (academic),44,3353,500,0.3802580125647259,0.40531870695295624,0.5859574165336127,0.4421741659908054,0.02506069438823033,-0.14378325054280727
alignment,arxiv,arXiv (academic),44,295,295,0.37567406066527836,0.41297634868520966,0.5155100445053847,0.46844031226129257,0.037302288019931296,-0.047069732244092166
autonomy,arxiv,arXiv (academic),44,103,103,0.3612563749782415,0.3972143454118983,0.5104257605292208,0.4843848614816505,0.03595797043365684,-0.026040899047570343
bias,arxiv,arXiv (academic),44,703,500,0.35678578016733387,0.3656197246036327,0.4486405278605629,0.4378603902562105,0.008833944436298813,-0.010780137604352424
capability,arxiv,arXiv (academic),44,339,339,0.35850747688135753,0.4184600998853703,0.4793555632451165,0.47736226734284093,0.05995262300401277,-0.0019932959022755936
control,arxiv,arXiv (academic),44,1583,500,0.3697899672086624,0.4194622529999575,0.5690920118489309,0.47802390269238,0.04967228579129507,-0.09106810915655089
creativity,arxiv,arXiv (academic),44,208,208,0.3737471474348339,0.4034934318911653,0.5180340639941637,0.4994195803607897,0.02974628445633143,-0.018614483633374035
decision,arxiv,arXiv (academic),44,2052,500,0.3931725043232252,0.4175427668794434,0.5016353245910569,0.46421889417558826,0.024370262556218214,-0.037416430415468604
fairness,arxiv,arXiv (academic),44,485,485,0.3556225365903609,0.37953360509105377,0.47903634297503844,0.45201433829867527,0.023911068500692856,-0.027022004676363176
generation,arxiv,arXiv (academic),44,1261,500,0.37207338997136297,0.41885310375732104,0.5403049547923905,0.45793341072334137,0.04677971378595808,-0.08237154406904912
intelligence,arxiv,arXiv (academic),44,3936,500,0.37523758038391175,0.4127442292523539,0.5773665041837168,0.5094759649867249,0.03750664886844213,-0.06789053919699195
learning,arxiv,arXiv (academic),44,20874,500,0.37589501231318767,0.400405028818112,0.5331954526278818,0.4519651475342056,0.024510016504924348,-0.08123030509367624
model,arxiv,arXiv (academic),44,11613,500,0.3664766940478632,0.3906699751438018,0.5775966702221141,0.44625188599749,0.0241932810959386,-0.13134478422462414
network,arxiv,arXiv (academic),44,9774,500,0.35635600009140556,0.3817455647615187,0.5565778613053877,0.46552793546317445,0.025389564670113163,-0.09104992584221322
prediction,arxiv,arXiv (academic),44,1628,500,0.3616599425013459,0.40613386501788606,0.5166070646174635,0.45261685054093553,0.04447392251654014,-0.063990214076528
reasoning,arxiv,arXiv (academic),44,1161,500,0.37055736178546206,0.41219651972684473,0.5531154663823109,0.47769007957826504,0.041639157941382676,-0.07542538680404587
representation,arxiv,arXiv (academic),44,1373,500,0.37356437482371885,0.39800549696400545,0.5212673827885689,0.45828530257272315,0.024441122140286597,-0.06298208021584573
risk,arxiv,arXiv (academic),44,520,500,0.3588626821282838,0.4039659462433228,0.44515712095938476,0.4553386757742742,0.04510326411503901,0.01018155481488947
safety,arxiv,arXiv (academic),44,424,424,0.3638778535166038,0.3994714630587231,0.4832207219147752,0.4695937784527652,0.03559360954211932,-0.013626943462010044
system,arxiv,arXiv (academic),44,4468,500,0.3696076770246214,0.4056542496678954,0.5963814974470505,0.4672791429477642,0.03604657264327399,-0.1291023544992863
training,arxiv,arXiv (academic),44,5810,500,0.38070897471244325,0.41389029144969197,0.5321828770096556,0.45851170762681226,0.03318131673724872,-0.07367116938284335
understanding,arxiv,arXiv (academic),44,958,500,0.3815873448472334,0.41989877895530614,0.5329441108147022,0.4849526437657887,0.03831143410807275,-0.04799146704891344
algorithm,NYT,New York Times (public news),55,271,271,0.3818460235228998,0.4165131825554334,0.6124385613083638,0.4911798129545181,0.03466715903253359,-0.1212587483538457
bias,NYT,New York Times (public news),55,219,219,0.36950528151501943,0.36423635418628786,0.4233332706711197,0.4455541607070493,-0.005268927328731576,0.022220890035929586
control,NYT,New York Times (public news),55,423,423,0.3920155413406148,0.4189328572794205,0.4611612280017197,0.46320513231596444,0.026917315938805697,0.0020439043142447266
creativity,NYT,New York Times (public news),55,113,113,0.3936106597760308,0.4133169431598243,0.4776414832592686,0.5407925643539968,0.019706283383793488,0.06315108109472822
decision,NYT,New York Times (public news),55,206,206,0.39530874890937434,0.4349186189252357,0.4506286865688421,0.4745511932490899,0.03960987001586136,0.023922506680247813
generation,NYT,New York Times (public news),55,319,319,0.40817148586014607,0.40818660878252816,0.45133338054293604,0.4337605830103414,1.5122922382093673e-05,-0.01757279753259461
intelligence,NYT,New York Times (public news),55,12402,500,0.37856306875303364,0.4268282962084829,0.5786142586852449,0.4908134633364305,0.048265227455449256,-0.08780079534881435
learning,NYT,New York Times (public news),55,2237,500,0.37778540259320453,0.4173306958187128,0.5678202914064544,0.49394229513054944,0.03954529322550826,-0.07387799627590497
model,NYT,New York Times (public news),55,872,500,0.38589843802742413,0.41997216211141924,0.6092292715098182,0.489172251483811,0.034073724083995116,-0.12005702002600721
network,NYT,New York Times (public news),55,671,500,0.3832633782404009,0.40876454740667634,0.5715588166663569,0.5118985056430915,0.025501169166275428,-0.05966031102326541
reasoning,NYT,New York Times (public news),55,118,118,0.3777400744076402,0.40899585872396466,0.5063148716388376,0.5329021444589012,0.031255784316324475,0.026587272820063568
risk,NYT,New York Times (public news),55,334,334,0.36369604742824424,0.43848928107386803,0.42717502658933715,0.4385210935555535,0.07479323364562379,0.011346066966216373
safety,NYT,New York Times (public news),55,452,452,0.37944786599776764,0.4140295520015854,0.48453843962173204,0.49317361530783965,0.03458168600381778,0.00863517568610761
system,NYT,New York Times (public news),55,1521,500,0.37713305687117377,0.4185815223012284,0.6215155792600112,0.48407503930855794,0.04144846543005465,-0.13744053995145328
training,NYT,New York Times (public news),55,457,457,0.3909012994510404,0.4296517318245802,0.5278081429768408,0.4588189294907178,0.03875043237353981,-0.06898921348612297
understanding,NYT,New York Times (public news),55,233,233,0.38739994570426023,0.41562427779613365,0.511849955672264,0.5020587834696361,0.028224332091873416,-0.009791172202627929
algorithm,WSJ,Wall Street Journal (business news),55,184,184,0.38860117205133604,0.4261220781702692,0.6236305565046705,0.4955228133908335,0.03752090611893316,-0.128107743113837
control,WSJ,Wall Street Journal (business news),55,256,256,0.38177994787644787,0.4051764595295625,0.4560549615414319,0.4645868391604306,0.023396511653114627,0.008531877618998707
decision,WSJ,Wall Street Journal (business news),55,174,174,0.40153643444944465,0.4447028861387155,0.4588192886680022,0.4764010637807819,0.04316645168927086,0.017581775112779696
generation,WSJ,Wall Street Journal (business news),55,273,273,0.4096526959442522,0.42420355637911494,0.47502745661139834,0.45975662326890804,0.014550860434862756,-0.015270833342490298
intelligence,WSJ,Wall Street Journal (business news),55,6537,500,0.36950806760152016,0.4218928787520409,0.5999427530291394,0.4937890361741613,0.05238481115052074,-0.10615371685497804
learning,WSJ,Wall Street Journal (business news),55,1747,500,0.36421353332575745,0.40989042670798115,0.5804217660831259,0.49076486591989127,0.04567689338222369,-0.08965690016323463
model,WSJ,Wall Street Journal (business news),55,654,500,0.379568847022579,0.4169571938226376,0.6093996433750808,0.4851323881116379,0.03738834680005859,-0.1242672552634429
network,WSJ,Wall Street Journal (business news),55,235,235,0.38235979608791193,0.4104822950191735,0.5395310825780989,0.48813044337312267,0.028122498931261564,-0.05140063920497623
risk,WSJ,Wall Street Journal (business news),55,318,318,0.3597602761932731,0.44168476750316804,0.4123745802622221,0.4337345024175837,0.08192449130989493,0.021359922155361588
safety,WSJ,Wall Street Journal (business news),55,284,284,0.37579963234086383,0.4119010243003226,0.49973006955846977,0.49199804016672427,0.03610139195945877,-0.0077320293917454985
system,WSJ,Wall Street Journal (business news),55,764,500,0.37748021782218005,0.4188077870240374,0.6263861253594406,0.4855567435557142,0.04132756920185737,-0.1408293818037264
training,WSJ,Wall Street Journal (business news),55,449,449,0.3825179507680462,0.4293801128517528,0.5404666756871072,0.46015571970574803,0.04686216208370664,-0.08031095598135912
understanding,WSJ,Wall Street Journal (business news),55,136,136,0.3956568313052061,0.41573456637190476,0.4858858096883093,0.5041642074826852,0.020077735066698632,0.0182783977943759
agent,arxiv,arXiv (academic),55,2240,500,0.3658088870728997,0.4002961609230201,0.5539032010801559,0.4992103493889493,0.034487273850120403,-0.05469285169120658
algorithm,arxiv,arXiv (academic),55,3353,500,0.38362445744576135,0.40691989685948443,0.5896801897652756,0.452596767098065,0.023295439413723085,-0.13708342266721057
alignment,arxiv,arXiv (academic),55,295,295,0.37567406066527836,0.41297634868520966,0.5155100445053847,0.46844031226129257,0.037302288019931296,-0.047069732244092166
autonomy,arxiv,arXiv (academic),55,103,103,0.3612563749782415,0.3972143454118983,0.5104257605292208,0.4843848614816505,0.03595797043365684,-0.026040899047570343
bias,arxiv,arXiv (academic),55,703,500,0.35795227104546623,0.37011383188999536,0.44929041297845823,0.4361330464252346,0.012161560844529129,-0.013157366553223637
capability,arxiv,arXiv (academic),55,339,339,0.35850747688135753,0.4184600998853703,0.4793555632451165,0.47736226734284093,0.05995262300401277,-0.0019932959022755936
control,arxiv,arXiv (academic),55,1583,500,0.3636380244749777,0.416335639190781,0.5706682195109329,0.47066833304995465,0.05269761471580331,-0.0999998864609783
creativity,arxiv,arXiv (academic),55,208,208,0.3737471474348339,0.4034934318911653,0.5180340639941637,0.4994195803607897,0.02974628445633143,-0.018614483633374035
decision,arxiv,arXiv (academic),55,2052,500,0.3927833536244438,0.41342624976651443,0.49554406509363746,0.46035544670538076,0.020642896142070655,-0.03518861838825671
fairness,arxiv,arXiv (academic),55,485,485,0.3556225365903609,0.37953360509105377,0.47903634297503844,0.45201433829867527,0.023911068500692856,-0.027022004676363176
generation,arxiv,arXiv (academic),55,1261,500,0.3746172821385481,0.42052531943444277,0.5445810966436802,0.45638109196105775,0.045908037295894655,-0.0882000046826224
intelligence,arxiv,arXiv (academic),55,3936,500,0.37494746545920776,0.4148781951646114,0.5819521077741635,0.5138047278344696,0.03993072970540362,-0.06814737993969389
learning,arxiv,arXiv (academic),55,20874,500,0.3668704403622192,0.39292827174174905,0.5272637797489089,0.443366769751977,0.026057831379529828,-0.08389700999693195
model,arxiv,arXiv (academic),55,11613,500,0.36453026415356476,0.3883310560254165,0.5738701120185616,0.4415325746664572,0.023800791871851745,-0.13233753735210446
network,arxiv,arXiv (academic),55,9774,500,0.36574183802747434,0.3878207690675371,0.5663665585980743,0.45594898071607265,0.022078931040062755,-0.11041757788200163
prediction,arxiv,arXiv (academic),55,1628,500,0.361115509091463,0.4102337603552648,0.5201116862255725,0.45505649128604236,0.049118251263801815,-0.0650551949395301
reasoning,arxiv,arXiv (academic),55,1161,500,0.37767845598810046,0.41311276458893076,0.5444406760034719,0.48463673890215553,0.0354343086008303,-0.05980393710131637
representation,arxiv,arXiv (academic),55,1373,500,0.38345436904293495,0.40975997321787805,0.5333398191076988,0.4703557229234842,0.026305604174943098,-0.06298409618421458
risk,arxiv,arXiv (academic),55,520,500,0.35597312076212123,0.40085380931659514,0.4403420341883027,0.44889458117087927,0.04488068855447391,0.00855254698257657
safety,arxiv,arXiv (academic),55,424,424,0.3638778535166038,0.3994714630587231,0.4832207219147752,0.4695937784527652,0.03559360954211932,-0.013626943462010044
system,arxiv,arXiv (academic),55,4468,500,0.3691533768282635,0.40842360060044974,0.606467242910492,0.46682267451783244,0.03927022377218625,-0.1396445683926596
training,arxiv,arXiv (academic),55,5810,500,0.3698593604115051,0.40797874861227823,0.527790797032253,0.4499557482058826,0.03811938820077315,-0.07783504882637038
understanding,arxiv,arXiv (academic),55,958,500,0.38467532666971943,0.4304037995597208,0.5415871810494836,0.48451445428687046,0.04572847289000137,-0.0570727267626131
